rank,start,end,value
114,15,17,0.030475237293671853
115,4,5,0.030448682139845307
116,16,35,0.030422138222513162
117,3,11,0.03015163692630307
118,33,36,0.029983456998692537
119,6,14,0.029933999705596293
120,6,18,0.029755451921195775
121,16,17,0.02954899564080371
122,24,25,0.02954893215111576
123,11,25,0.029472637086245035
124,11,14,0.029407723535484154
125,5,18,0.02929314470245692
126,14,31,0.02908867518550795
127,13,32,0.02903252328493844
128,21,23,0.028959336337308184
129,34,36,0.028878797209586304
130,25,27,0.028802981610364764
131,4,6,0.028755182145908664
132,24,27,0.028565311655930126
133,22,24,0.02847531841957851
134,7,37,0.028465318517398863
135,14,27,0.02815939315732585
136,9,12,0.028148149522542854
137,23,25,0.028141162082922166
138,1,30,0.028007544377871563
139,14,33,0.027976419888924742
140,25,30,0.027968556804045308
141,12,35,0.027875424474439248
142,4,37,0.02784676775489392
143,7,14,0.027579026196940415
144,11,26,0.02756294428436412
145,14,35,0.027551770378066998
146,26,27,0.027431504069929113
147,26,31,0.02732965990910774
148,13,24,0.027230695145383566
149,10,31,0.027220169305965936
150,11,28,0.02721229134297487
151,31,36,0.026999501188644803
152,14,18,0.02693731488448825
153,26,33,0.026775744063951556
154,13,35,0.02661324263463216
155,20,22,0.02628160659230594
156,9,14,0.026163519180134154
157,1,33,0.026133107260243094
158,11,13,0.026031757027493718
159,10,30,0.02599875470775692
160,29,32,0.0258403980021078
161,13,14,0.025619700804700107
162,24,26,0.025611762493712886
163,14,24,0.02560943332295751
164,28,34,0.025466811140878454
165,27,34,0.025447243880670545
166,16,31,0.025333967140860558
167,25,31,0.02531795070238707
168,24,28,0.02527841155591526
169,1,24,0.02518307632383343
170,10,29,0.02512993356590698
171,2,9,0.025070803186592494
172,14,30,0.02499928427688003
173,6,19,0.024482544800578765
174,10,33,0.02442786865496216
175,11,27,0.024345325932359385
176,23,26,0.024062583196175602
177,2,11,0.023871034056582863
178,1,16,0.02349474766648596
179,7,19,0.023381792281247593
180,5,15,0.023350443581420688
181,25,33,0.02330111191190154
